Gene,dropout,highly_variable,F_pval,Adj_F_pval
PDCD4,0.5187457396046353,0,1.7115892234398798e-07,0.0029625791197237833
NAP1L4,0.2903885480572597,0,2.5598603510025124e-07,0.003004973590191096
Z93241.1,0.9120654396728016,1,3.24300233233882e-08,0.003072081025692786
RPL21,0.034764826175869123,0,3.605134984825331e-07,0.0031112391299021095
UBASH3B,0.9113837764144512,1,3.317678427770331e-08,0.0031186457947677292
SNHG15,0.8227675528289026,0,6.843894597997868e-08,0.0032166594159976827
PPP1R14B,0.7177914110429447,1,1.1755610028057218e-07,0.0034699238565208275
ATP5F1E,0.006816632583503749,0,4.210538066873038e-07,0.0035314508123799504
C22orf34,0.8841172460804363,0,5.1150944488513654e-08,0.003676883342667828
SEPTIN9,0.3885480572597137,0,2.889969956160856e-07,0.003937095959975568
TSEN54,0.7341513292433538,0,1.294856665625595e-07,0.004057254073891793
TMSB10,0.0006816632583503749,0,4.867434129079168e-07,0.004057338368015118
CLEC2B,0.9086571233810498,1,4.5119385539880195e-08,0.004114655630072726
HM13,0.18404907975460122,0,4.0734200830488006e-07,0.004158533123731453
GLCCI1,0.6905248807089298,1,1.8299562305421722e-07,0.00492560934634597
GFPT2,0.9406952965235174,1,3.519026890925687e-08,0.004942861574720675
PGD,0.6646216768916156,1,2.001461686149946e-07,0.004971154871044272
DOCK10,0.4287661895023858,0,3.467015586290037e-07,0.005055765135582188
OFD1,0.7920927062031357,0,1.331675523932583e-07,0.0053354824218897695
AFG3L2,0.7396046353101567,0,1.8436492503598597e-07,0.005897800167752624
M6PR,0.5882753919563736,0,2.9522971324097955e-07,0.005973078760055011
CORO1B,0.6530334014996592,0,2.5282854425659384e-07,0.006069926565727789
ID2,0.48261758691206547,1,3.8204047569723223e-07,0.006150957361623853
TOMM7,0.03408316291751875,0,7.390036423438818e-07,0.0063731163019357055
COX5B,0.18336741649625085,0,6.304653189270004e-07,0.006431014648141092
PTGDR2,0.9434219495569189,0,5.241145231631224e-08,0.007716550753796277
CITED2,0.6196319018404908,0,3.873108796469339e-07,0.008482045794771135
MYL6B,0.6857532379004772,0,3.276425080885167e-07,0.008685092168150898
GGA1,0.8152692569870484,0,1.936519692930079e-07,0.008732281795118743
IL16,0.5085207907293797,0,5.532942411014709e-07,0.009377692772020106
RBM3,0.3319700068166326,0,7.598661453167261e-07,0.009475150899026915
CASS4,0.9338786639400136,0,7.662248587070436e-08,0.00965294026611807
RPN2,0.256305385139741,0,8.628347453052861e-07,0.00966446883542858
SLC2A3,0.5821404226312201,0,4.902817604207708e-07,0.00977373090266797
RPL27A,0.05794137695978187,0,1.1456323878955304e-06,0.01013006787239222
PPIB,0.014314928425357873,0,1.223929151359116e-06,0.010343394786870708
SSR4,0.038173142467621,0,1.2275666322990232e-06,0.010631466533680807
ITGA4,0.24130879345603273,0,1.036240713072741e-06,0.011377336478191674
WDR74,0.8275391956373551,0,2.451445981015889e-07,0.011840687568012676
SH3BGRL,0.3551465576005453,0,1.008520762081185e-06,0.013027732188071786
TSPYL2,0.6802999318336742,1,5.130126470753869e-07,0.013366889080282319
ATIC,0.7880027266530334,0,3.5578371944769266e-07,0.013979794816269915
SMARCA2,0.5357873210633947,0,7.980188599025654e-07,0.014319938693221642
PSMB9,0.35855487389229723,0,1.1105956821570586e-06,0.014422530713585858
ATP6V0E1,0.17791411042944785,0,1.426718520486548e-06,0.014456598059189776
PPP1CA,0.2147239263803681,0,1.4340013935988246e-06,0.015211505876676157
GIMAP4,0.8336741649625086,1,3.0777875166673964e-07,0.015414304102582963
RESF1,0.44103612815269255,1,1.1037613890782224e-06,0.016448884863766677
FGFR1OP2,0.46966598500340834,0,1.0535758207854775e-06,0.016548602086553756
LPAR5,0.9113837764144512,0,1.7799334576725918e-07,0.016731525111876467
SERP1,0.038173142467621,0,1.9543122909516106e-06,0.01692552173620176
TMEM173,0.3912747102931152,1,1.3298270165422134e-06,0.01819779666642516
CSF2,0.5603271983640081,1,9.732945964814537e-07,0.01843994888590539
ACP5,0.5453306066803,1,1.0229673462840545e-06,0.018741789352322697
DNASE1L1,0.9168370824812543,0,1.9276141478142443e-07,0.019307915511349454
NANS,0.710974778459441,0,6.814888128038383e-07,0.019641198717529038
NDUFAF3,0.4042263122017723,0,1.47074861153751e-06,0.020563741207477847
CPOX,0.8104976141785958,0,4.915887758587624e-07,0.021608880991940364
